                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.5087,                0.69303,                0.46415,                 0.9719,                 0.8923,                0.85185,                0.92418,                0.82386,                 0.8923,                0.85185,                0.91909,                0.80671,                0.55651,                 1.4365,                 0.7348,                 1.0383,              0.0013268,              0.0013268,              0.0013268
                     36,                0.50907,                0.68745,                0.47782,                0.98213,                0.85107,                0.92593,                0.89877,                0.75489,                0.85107,                0.92593,                0.88435,                 0.6437,                0.72715,                 2.0987,                0.76761,                 1.2553,               0.001307,               0.001307,               0.001307
                     37,                0.46908,                0.66669,                0.42495,                0.96045,                 0.9177,                0.92593,                0.94352,                0.81987,                0.92276,                0.88505,                 0.9008,                0.62369,                0.63032,                 2.5159,                0.63265,                 1.1674,              0.0012872,              0.0012872,              0.0012872
                     38,                0.53137,                0.68554,                0.45335,                0.95331,                0.99373,                0.96296,                  0.992,                0.88882,                 0.9599,                      1,                0.99393,                0.93908,                  0.454,                0.60099,                0.40766,                0.96826,              0.0012674,              0.0012674,              0.0012674
                     39,                0.47397,                0.59729,                0.40248,                0.95674,                0.99556,                0.96296,                0.99113,                0.89407,                      1,                0.99513,                  0.995,                0.94165,                 0.4434,                0.66845,                0.36831,                0.93405,              0.0012476,              0.0012476,              0.0012476
                     40,                0.53401,                0.61067,                0.47178,                0.98006,                0.96367,                      1,                0.99393,                0.89869,                0.96367,                      1,                0.99393,                0.92673,                0.49226,                0.75393,                0.42872,                0.94882,              0.0012278,              0.0012278,              0.0012278
                     41,                0.51843,                0.66003,                0.43702,                0.99144,                0.91791,                0.96296,                0.98515,                0.86195,                0.89954,                0.99503,                 0.9876,                0.88356,                0.51454,                0.82856,                0.53199,                0.99394,               0.001208,               0.001208,               0.001208
                     42,                0.52147,                0.61336,                0.40819,                0.97592,                0.93282,                0.88889,                 0.9697,                0.85706,                0.93282,                0.88889,                 0.9697,                0.86377,                0.49402,                0.83641,                0.62525,                0.99947,              0.0011882,              0.0011882,              0.0011882
                     43,                0.52833,                0.63727,                0.41579,                0.96323,                0.91787,                0.88889,                0.94466,                 0.7992,                0.91787,                0.88889,                0.94466,                0.81371,                0.62307,                 1.0067,                0.68425,                 1.0804,              0.0011684,              0.0011684,              0.0011684
                     44,                0.44506,                0.61263,                0.37955,                 0.9357,                0.99913,                0.96296,                0.96716,                0.81583,                0.99913,                0.96296,                0.96578,                0.83569,                0.63744,                 1.0466,                0.46979,                  1.097,              0.0011486,              0.0011486,              0.0011486
                     45,                0.51008,                0.68381,                0.40166,                0.95889,                0.99791,                0.96296,                0.96714,                 0.8362,                0.99791,                0.96296,                0.96586,                0.86591,                0.54361,                 1.0304,                 0.4041,                 1.0514,              0.0011288,              0.0011288,              0.0011288
                     46,                0.51461,                0.78852,                0.43957,                0.97429,                0.99758,                0.96296,                0.96579,                0.84506,                0.99758,                0.96296,                0.96579,                0.85145,                0.51014,                 1.1906,                0.39541,                 1.0024,               0.001109,               0.001109,               0.001109
                     47,                 0.4666,                0.58903,                0.37636,                0.95308,                0.99778,                0.96296,                 0.9812,                0.85778,                0.99778,                0.96296,                 0.9812,                0.88629,                0.48881,                0.79025,                 0.4021,                0.96259,              0.0010892,              0.0010892,              0.0010892
                     48,                0.41151,                0.57691,                0.34548,                0.92906,                      1,                0.99692,                  0.995,                0.91975,                      1,                0.99692,                  0.995,                0.92876,                0.44247,                0.67141,                0.34107,                0.96268,              0.0010694,              0.0010694,              0.0010694
                     49,                0.42985,                0.52353,                0.35918,                0.94856,                      1,                0.99702,                  0.995,                0.88858,                      1,                0.99702,                  0.995,                0.93319,                0.47529,                0.70701,                0.38511,                0.96615,              0.0010496,              0.0010496,              0.0010496
                     50,                0.47556,                0.65863,                0.38839,                0.94503,                0.92295,                      1,                0.98863,                0.89146,                0.92295,                      1,                0.98863,                 0.9172,                0.47645,                0.76154,                0.41871,                0.94673,              0.0010298,              0.0010298,              0.0010298
                     51,                0.48088,                0.70556,                0.40487,                0.95309,                0.98662,                0.92593,                0.97687,                0.86961,                0.98662,                0.92593,                0.97687,                0.86432,                0.45418,                0.98211,                0.55827,                0.94041,                0.00101,                0.00101,                0.00101
                     52,                0.44031,                0.63444,                0.37137,                0.93009,                0.94786,                0.88889,                0.94706,                0.82349,                0.91299,                0.85185,                0.92072,                0.78772,                0.53467,                 1.5709,                 1.1229,                 1.0139,              0.0009902,              0.0009902,              0.0009902
                     53,                0.45098,                0.60325,                0.39719,                  0.914,                 0.9189,                0.88889,                0.95156,                0.82543,                 0.9189,                0.88889,                0.95156,                0.75248,                0.51658,                 1.9581,                 1.1813,                 1.0036,              0.0009704,              0.0009704,              0.0009704
                     54,                0.46942,                0.63984,                0.38443,                0.95912,                0.71866,                0.88889,                0.91718,                0.82833,                0.71866,                0.88889,                0.91718,                0.75769,                0.50644,                  1.689,                 1.1894,                0.98991,              0.0009506,              0.0009506,              0.0009506
                     55,                0.44373,                0.51633,                0.37495,                 0.9299,                0.96215,                0.88889,                0.94247,                0.87376,                0.96215,                0.88889,                0.94247,                0.85205,                0.48086,                 1.1379,                 1.1573,                0.96605,              0.0009308,              0.0009308,              0.0009308
                     56,                0.46382,                 0.5588,                0.36887,                0.93485,                0.99453,                0.92593,                0.96562,                0.89917,                0.99453,                0.92593,                0.96368,                0.91857,                0.41734,                0.75976,                0.41489,                0.91827,               0.000911,               0.000911,               0.000911
                     57,                0.44854,                0.59302,                0.37515,                0.94652,                0.99539,                0.92593,                0.96664,                0.92777,                0.99539,                0.92593,                0.96664,                0.92561,                0.40921,                0.73881,                0.40769,                0.90216,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.4601,                  0.637,                0.35928,                0.95609,                 0.9975,                0.92593,                0.97772,                0.90437,                 0.9975,                0.92593,                0.97308,                 0.9295,                0.45866,                0.68799,                0.39458,                 0.9401,              0.0008714,              0.0008714,              0.0008714
                     59,                0.41333,                0.56805,                0.34061,                0.91013,                0.99459,                0.92593,                 0.9781,                0.91463,                0.99459,                0.92593,                0.97938,                0.94191,                0.38267,                0.60046,                0.38142,                0.89943,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.4502,                0.56231,                0.35299,                0.95217,                0.99189,                0.92593,                 0.9828,                0.92422,                      1,                0.95757,                0.98429,                 0.9457,                0.40182,                0.57722,                0.37134,                0.90436,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.4155,                0.55036,                0.34656,                0.94015,                0.99189,                0.92593,                0.98597,                0.92113,                0.99956,                0.96296,                0.98882,                0.94964,                0.38679,                0.59779,                0.33975,                0.89461,               0.000812,               0.000812,               0.000812
                     62,                0.38923,                 0.5846,                0.33845,                 0.9257,                0.92847,                0.96159,                0.99017,                0.92285,                0.92847,                0.96159,                0.99017,                0.93166,                0.39434,                0.71407,                0.37352,                0.89084,              0.0007922,              0.0007922,              0.0007922
